Material compositions,main_element,Trg,Density_composition_average,IsBoron_composition_average,IsDBlock_composition_average,IsTransitionMetal_composition_average,NdValence_composition_average,NValance_composition_average,HeatVaporization_max_value,BoilingT_difference,HeatVaporization_difference,MeltingT_difference,NdValence_difference,NsUnfilled_difference,valence_difference,Site1_Density,Site1_HeatCapacityMass,Site1_HeatFusion,Site1_IsDBlock,Site1_IsTransitionMetal,Site1_NdValence,Site1_SpecificHeatCapacity
Ca65Mg15Ag20,Ca,0.584,-1.476182716,-0.585599963,-1.4671558,-1.4671558,-1.170607039,-1.174746037,-1.684369924,-0.888432256,-1.035977725,-1.133297911,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca65Mg15Cu20,Ca,0.562,-1.623326175,-0.585599963,-1.4671558,-1.4671558,-1.170607039,-1.174746037,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca65Mg15Zn20,Ca,0.595,-1.790151243,-0.585599963,-1.4671558,-1.4671558,-1.170607039,-1.091622632,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca65Mg20Cu15,Ca,0.568,-1.791603934,-0.585599963,-1.623220667,-1.623220667,-1.41507133,-1.361773699,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca65Mg20Zn15,Ca,0.569,-1.916722735,-0.585599963,-1.623220667,-1.623220667,-1.41507133,-1.299431145,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca65Mg25Cu10,Ca,0.586,-1.959881692,-0.585599963,-1.779285533,-1.779285533,-1.65953562,-1.54880136,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca65Mg25Zn10,Ca,0.51,-2.043294226,-0.585599963,-1.779285533,-1.779285533,-1.65953562,-1.507239658,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca65Mg35,Ca,0.416,-2.296437209,-0.585599963,-2.091415267,-2.091415267,-2.148464202,-1.922856683,-2.319158,-1.715276954,-1.718250272,-1.318556057,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca65Mg5Cu30,Ca,0.532,-1.286770658,-0.585599963,-1.155026066,-1.155026066,-0.681678457,-0.800690714,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca65Zn35,Ca,0.566,-1.410436769,-0.585599963,-0.9989612,-0.9989612,-0.437214166,-0.468197094,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca66.4Al33.6,Ca,0.605,-2.146200926,2.066600598,-2.091415267,-2.091415267,-2.148464202,-1.783209363,-1.418640068,-0.933555049,-0.942837142,-1.334729264,-1.654387503,-1.16570621,-0.740265774,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca70Mg10Ag20,Ca,0.561,-1.480587648,-0.585599963,-1.4671558,-1.4671558,-1.170607039,-1.174746037,-1.684369924,-0.888432256,-1.035977725,-1.133297911,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca70Mg10Cu20,Ca,0.54,-1.627731107,-0.585599963,-1.4671558,-1.4671558,-1.170607039,-1.174746037,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca70Mg10Zn20,Ca,0.559,-1.794556175,-0.585599963,-1.4671558,-1.4671558,-1.170607039,-1.091622632,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca70Mg15Zn15,Ca,0.539,-1.921127666,-0.585599963,-1.623220667,-1.623220667,-1.41507133,-1.299431145,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca70Mg20Cu10,Ca,0.507,-1.964286624,-0.585599963,-1.779285533,-1.779285533,-1.65953562,-1.54880136,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ce55Al25Cu20,Ce,0.59,-0.177313663,1.38776355,-1.4671558,-1.4671558,-0.901696319,-0.613663053,-1.26649203,-1.17014483,-1.747187843,-0.95971784,-1.654387503,-1.16570621,0.264503316,0.003092983,-1.04617472,-1.740831689,-1.392730589,-1.392730589,-0.863950853,-1.051462366
Ce60Al20Co20,Ce,0.531,-0.085723888,0.993090847,-1.4671558,-1.4671558,-1.170607039,-0.759129012,-0.87289167,-1.17014483,-1.324144736,-0.326027778,-1.654387503,-1.16570621,-0.740265774,0.003092983,-1.04617472,-1.740831689,-1.392730589,-1.392730589,-0.863950853,-1.051462366
Ce60Al20Cu20,Ce,0.564,-0.08384945,0.993090847,-1.4671558,-1.4671558,-0.87724989,-0.592882202,-1.26649203,-1.17014483,-1.747187843,-0.95971784,-1.654387503,-1.16570621,0.264503316,0.003092983,-1.04617472,-1.740831689,-1.392730589,-1.392730589,-0.863950853,-1.051462366
Ce65Al15Cu20,Ce,0.47,0.009614764,0.598418145,-1.4671558,-1.4671558,-0.852803461,-0.57210135,-1.26649203,-1.17014483,-1.747187843,-0.95971784,-1.654387503,-1.16570621,0.264503316,0.003092983,-1.04617472,-1.740831689,-1.392730589,-1.392730589,-0.863950853,-1.051462366
Ce68Al10Cu20Fe2,Ce,0.497,0.114185028,0.203745442,-1.404729853,-1.404729853,-0.779464173,-0.518071137,-1.030331814,-1.17014483,-1.493361979,-0.259604862,-0.590267999,0.85784908,2.274041495,0.003092983,-1.04617472,-1.740831689,-1.392730589,-1.392730589,-0.863950853,-1.051462366
Ce70Al15Cu15,Ce,0.47,-0.042658653,0.598418145,-1.623220667,-1.623220667,-1.072821322,-0.717567309,-1.26649203,-1.17014483,-1.747187843,-0.95971784,-1.654387503,-1.16570621,0.264503316,0.003092983,-1.04617472,-1.740831689,-1.392730589,-1.392730589,-0.863950853,-1.051462366
Co43.2Fe28.8B19.2Si4.8Nb4,Co,0.58,0.24514833,0.929943215,0.280770708,0.280770708,0.253152991,0.221727168,1.222782177,0.100610591,0.510938053,0.026894165,-0.856297875,-1.16570621,1.269272405,0.636295428,-0.198886472,0.624837718,0.718013956,0.718013956,0.590470008,-0.196923125
Co43Fe20Ta5.5B31.5,Co,0.596,0.269974336,1.900838063,0.046673408,0.046673408,-0.009401657,0.346412276,1.533031872,0.971358548,0.844395561,0.735920171,0.20782163,-1.16570621,1.269272405,0.636295428,-0.198886472,0.624837718,0.718013956,0.718013956,0.590470008,-0.196923125
Co48Cr15Mo14C15B6Er2,Co,0.608,0.437581983,-0.11199272,0.311983681,0.311983681,0.203282276,0.205102487,1.387498966,0.204271062,1.09054266,1.559255381,0.20782163,0.85784908,1.269272405,0.636295428,-0.198886472,0.624837718,0.718013956,0.718013956,0.590470008,-0.196923125
Co50.4Fe21.6B19.2Si4.8Nb4,Co,0.573,0.279765468,0.929943215,0.280770708,0.280770708,0.288355849,0.251651594,1.222782177,0.100610591,0.510938053,0.026894165,-0.856297875,-1.16570621,1.269272405,0.636295428,-0.198886472,0.624837718,0.718013956,0.718013956,0.590470008,-0.196923125
Co50Cr15Mo14C15B6,Co,0.578,0.436026199,-0.11199272,0.374409628,0.374409628,0.271732277,0.163540785,1.387498966,0.204271062,0.759075943,1.559255381,0.20782163,0.85784908,1.269272405,0.636295428,-0.198886472,0.624837718,0.718013956,0.718013956,0.590470008,-0.196923125
Co57.6Fe14.4B19.2Si4.8Nb4,Co,0.563,0.314382607,0.929943215,0.280770708,0.280770708,0.323558707,0.28157602,1.222782177,0.100610591,0.510938053,0.026894165,-0.856297875,-1.16570621,1.269272405,0.636295428,-0.198886472,0.624837718,0.718013956,0.718013956,0.590470008,-0.196923125
Co64.8Fe7.2B19.2Si4.8Nb4,Co,0.551,0.348999746,0.929943215,0.280770708,0.280770708,0.358761565,0.311500446,1.222782177,0.100610591,0.510938053,0.026894165,-0.856297875,-1.16570621,1.269272405,0.636295428,-0.198886472,0.624837718,0.718013956,0.718013956,0.590470008,-0.196923125
Cu25Zr75,Zr,0.419,0.279721419,-0.585599963,1.029882069,1.029882069,-0.192749875,-0.364292838,0.56391502,-0.388422925,0.151173663,-0.425353208,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu28Zr72,Zr,0.473,0.313587845,-0.585599963,1.029882069,1.029882069,-0.075407016,-0.277013262,0.56391502,-0.388422925,0.151173663,-0.425353208,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu33.5Zr66.5,Zr,0.496,0.375676293,-0.585599963,1.029882069,1.029882069,0.13972156,-0.117000707,0.56391502,-0.388422925,0.151173663,-0.425353208,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu34Zr50Ag8Al8,Zr,0.592,0.387618812,0.045876361,0.780178282,0.780178282,0.393964423,0.097042061,0.56391502,0.544521314,0.505747776,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu35Ag25Zr30Ti10,Cu,0.595,0.764849655,-0.585599963,1.029882069,1.029882069,1.176250154,0.653968875,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu38Zr46Ag8Al8,Zr,0.604,0.432774047,0.045876361,0.780178282,0.780178282,0.550421569,0.213414828,0.56391502,0.544521314,0.505747776,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu40Ag20Zr30Ti10,Cu,0.602,0.72806379,-0.585599963,1.029882069,1.029882069,1.176250154,0.653968875,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu40Zr40Ag10Al10,Cu,0.558,0.456926193,0.203745442,0.717752335,0.717752335,0.687321572,0.321475254,0.56391502,0.544521314,0.505747776,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu40Zr44Ag8Al8,Zr,0.589,0.455351664,0.045876361,0.780178282,0.780178282,0.628650142,0.271601211,0.56391502,0.544521314,0.505747776,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu40Zr60,Zr,0.518,0.44905355,-0.585599963,1.029882069,1.029882069,0.393964423,0.072105039,0.56391502,-0.388422925,0.151173663,-0.425353208,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu42Zr42Ag16,Cu,0.556,0.769966873,-0.585599963,1.029882069,1.029882069,1.098021581,0.595782491,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,-1.16570621,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu42Zr42Ag8Al8,Cu,0.581,0.477929282,0.045876361,0.780178282,0.780178282,0.706878715,0.329787595,0.56391502,0.544521314,0.505747776,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu43Zr40Ag7Ti10,Cu,0.599,0.519532455,-0.585599963,1.029882069,1.029882069,0.785107288,0.363036957,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu43Zr43Ag7In7,Cu,0.62,0.63965119,-0.033058179,0.811391255,0.811391255,1.058907294,0.624875683,0.56391502,0.65427946,0.678484453,1.008176889,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu43Zr43Ag7Ti7,Cu,0.599,0.547705272,-0.585599963,1.029882069,1.029882069,0.785107288,0.363036957,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu43Zr43Al7Ag7,Cu,0.631,0.488430826,-0.033058179,0.811391255,0.811391255,0.716657287,0.333943765,0.56391502,0.544521314,0.505747776,0.23007105,-1.654387503,-1.16570621,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu43Zr43Al7Be7,Cu,0.631,0.204950049,-0.033058179,0.592900442,0.592900442,0.37440728,0.072105039,0.56391502,0.168904549,0.220140354,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu44Zr44Ag12,Cu,0.592,0.717960564,-0.585599963,1.029882069,1.029882069,1.019793007,0.537596108,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,-1.16570621,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu44Zr44Ag6Al6,Cu,0.61,0.49893237,-0.11199272,0.842604228,0.842604228,0.726435858,0.338099936,0.56391502,0.544521314,0.505747776,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu45Ag15Zr30Ti10,Cu,0.613,0.691277925,-0.585599963,1.029882069,1.029882069,1.176250154,0.653968875,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu45Ni5Ag10Zr30Ti10,Cu,0.612,0.654210895,-0.585599963,1.029882069,1.029882069,1.127357295,0.633188024,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu45Zr15Ag10Hf30,Cu,0.558,1.647780701,-0.585599963,1.029882069,1.029882069,0.980678721,2.254094423,1.030744892,0.781111095,1.007498231,0.34830384,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu45Zr25Ag10Hf20,Cu,0.573,1.329172937,-0.585599963,1.029882069,1.029882069,0.980678721,1.672230587,1.030744892,0.781111095,1.007498231,0.34830384,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu45Zr35Ag10Hf10,Cu,0.589,1.010565173,-0.585599963,1.029882069,1.029882069,0.980678721,1.090366752,1.030744892,0.781111095,1.007498231,0.34830384,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu45Zr45Ag10,Cu,0.589,0.691957409,-0.585599963,1.029882069,1.029882069,0.980678721,0.508502916,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,-1.16570621,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu45Zr45Ag3Al7,Cu,0.602,0.436424517,-0.033058179,0.811391255,0.811391255,0.638428714,0.275757382,0.56391502,0.544521314,0.505747776,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu45Zr45Ag5Al5,Cu,0.608,0.509433915,-0.19092726,0.873817202,0.873817202,0.73621443,0.342256106,0.56391502,0.544521314,0.505747776,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu45Zr45Ag7Al3,Cu,0.598,0.582443313,-0.348796342,0.936243149,0.936243149,0.834000146,0.40875483,0.56391502,0.544521314,0.505747776,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu45Zr45Al10,Cu,0.609,0.32691042,0.203745442,0.717752335,0.717752335,0.491750139,0.176009296,0.56391502,0.109147336,0.220140354,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu45Zr48Al7,Zr,0.597,0.380486572,-0.033058179,0.811391255,0.811391255,0.521085854,0.188477806,0.56391502,0.109147336,0.220140354,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu45Zr55,Zr,0.549,0.505497593,-0.585599963,1.029882069,1.029882069,0.589535856,0.217570998,0.56391502,-0.388422925,0.151173663,-0.425353208,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu46.4Ag11.6Zr35Ti7,Cu,0.616,0.671858738,-0.585599963,1.029882069,1.029882069,1.098021581,0.595782491,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu46Zr37Al7Y10,Cu,0.595,0.296225854,-0.033058179,0.811391255,0.811391255,0.511307282,0.176009296,0.56391502,0.109147336,0.220140354,0.23007105,0.739881382,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu46Zr42Al7Y5,Cu,0.604,0.344000617,-0.033058179,0.811391255,0.811391255,0.535753712,0.196790147,0.56391502,0.109147336,0.220140354,0.23007105,0.739881382,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu46Zr46Ag8,Cu,0.58,0.665954255,-0.585599963,1.029882069,1.029882069,0.941564434,0.479409724,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,-1.16570621,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu46Zr46Al8,Cu,0.607,0.373916663,0.045876361,0.780178282,0.780178282,0.550421569,0.213414828,0.56391502,0.109147336,0.220140354,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu46Zr47Al7,Zr,0.606,0.391775381,-0.033058179,0.811391255,0.811391255,0.560200141,0.217570998,0.56391502,0.109147336,0.220140354,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu46Zr54,Zr,0.58,0.516786402,-0.585599963,1.029882069,1.029882069,0.628650142,0.24666419,0.56391502,-0.388422925,0.151173663,-0.425353208,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu47Ni13Zr30Ti10,Cu,0.581,0.5801893,-0.585599963,1.029882069,1.029882069,1.049128722,0.599938662,0.56391502,-0.371349436,0.151173663,-0.425353208,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu47Ti33Nb11Ni8Si,Cu,0.561,0.394577667,-0.585599963,0.998669095,0.998669095,1.000235864,0.520971427,1.222782177,0.053048728,0.859326494,0.53546199,1.005911258,0.85784908,1.269272405,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu47Ti33Zr11Ni2Sn6Si,Cu,0.583,0.243511944,-0.585599963,0.811391255,0.811391255,0.951343006,0.57500164,0.56391502,0.007925935,0.223197641,0.891813209,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu47Ti33Zr11Ni4Sn4Si,Cu,0.607,0.258488712,-0.585599963,0.873817202,0.873817202,0.931785863,0.541752278,0.56391502,0.007925935,0.223197641,0.891813209,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu47Ti33Zr11Ni8Si,Cu,0.622,0.288442246,-0.585599963,0.998669095,0.998669095,0.892671576,0.475253554,0.56391502,-0.355495481,0.151173663,-0.425353208,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu47Ti33Zr11SiNi6Sn2,Cu,0.632,0.273465479,-0.585599963,0.936243149,0.936243149,0.912228719,0.508502916,0.56391502,0.007925935,0.223197641,0.891813209,-1.122327751,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu47Ti33Zr11Sn8Si,Cu,0.524,0.228535177,-0.585599963,0.748965308,0.748965308,0.970900149,0.608251002,0.56391502,0.007925935,0.223197641,0.891813209,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu47Ti33Zr3Nb8Ni8Si,Cu,0.577,0.365631643,-0.585599963,0.998669095,0.998669095,0.970900149,0.508502916,1.222782177,0.053048728,0.859326494,0.53546199,1.005911258,0.85784908,1.269272405,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu47Ti33Zr5Nb6Ni8Si,Cu,0.6,0.346334294,-0.585599963,0.998669095,0.998669095,0.951343006,0.500190575,1.222782177,0.053048728,0.859326494,0.53546199,1.005911258,0.85784908,1.269272405,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu47Ti33Zr7Nb4Ni8Si,Cu,0.608,0.327036945,-0.585599963,0.998669095,0.998669095,0.931785863,0.491878235,1.222782177,0.053048728,0.859326494,0.53546199,1.005911258,0.85784908,1.269272405,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu47Ti33Zr9Nb2Ni8Si,Cu,0.628,0.307739596,-0.585599963,0.998669095,0.998669095,0.912228719,0.483565894,1.222782177,0.053048728,0.859326494,0.53546199,1.005911258,0.85784908,1.269272405,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu47Zr43Al7Ag3,Cu,0.619,0.459002134,-0.033058179,0.811391255,0.811391255,0.716657287,0.333943765,0.56391502,0.544521314,0.505747776,0.23007105,-1.654387503,-1.16570621,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu47Zr43Al7Be3,Cu,0.628,0.337510373,-0.033058179,0.717752335,0.717752335,0.569978712,0.221727168,0.56391502,0.168904549,0.220140354,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu47Zr47Al6,Cu,0.602,0.420922907,-0.11199272,0.842604228,0.842604228,0.609092999,0.25082036,0.56391502,0.109147336,0.220140354,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu48Zr48Ag4,Cu,0.568,0.613947946,-0.585599963,1.029882069,1.029882069,0.863335861,0.421223341,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,-1.16570621,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu48Zr48Al4,Cu,0.58,0.46792915,-0.269861801,0.905030175,0.905030175,0.667764429,0.288225892,0.56391502,0.109147336,0.220140354,0.23007105,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu48Zr52,Zr,0.571,0.539364019,-0.585599963,1.029882069,1.029882069,0.706878715,0.304850573,0.56391502,-0.388422925,0.151173663,-0.425353208,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu49.4Zr41.99Ti7.41Sn0.6Si0.6,Cu,0.598,0.476072463,-0.585599963,0.992426501,0.992426501,0.779240145,0.370518064,0.56391502,0.007925935,0.223197641,0.891813209,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu49.5Zr42.075Ti7.425Si,Cu,0.599,0.466976935,-0.585599963,0.998669095,0.998669095,0.755771573,0.348490361,0.56391502,-0.355495481,0.151173663,-0.425353208,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu49.5Zr42.075Ti7.425Sn,Cu,0.599,0.4903137,-0.585599963,0.998669095,0.998669095,0.804664431,0.390052064,0.56391502,0.007925935,0.223197641,0.891813209,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu49Hf42Al9,Cu,0.623,1.72807698,0.124810902,0.748965308,0.748965308,0.657985857,2.740366343,1.030744892,0.345737117,0.721890809,0.81397482,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu49Zr36Ag10Ti5,Cu,0.612,0.690157948,-0.585599963,1.029882069,1.029882069,1.137135867,0.624875683,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu50Ag10Zr30Ti10,Cu,0.614,0.654492061,-0.585599963,1.029882069,1.029882069,1.176250154,0.653968875,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
Cu50Hf42.5Al7.5,Cu,0.63,1.782084253,0.006409091,0.795784768,0.795784768,0.711768001,2.804786982,1.030744892,0.345737117,0.721890809,0.81397482,1.005911258,0.85784908,0.264503316,0.642023175,-0.332084625,0.052143075,0.718013956,0.718013956,1.317680438,-0.330098072
